"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_2799",0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,16,17
"OTU_280",44,0,0,0,0,0,48,92,0,53,72,48,77,105,91,72,52,64
"OTU_2815",4,7,0,3,6,0,0,0,0,0,2,12,0,0,3,0,11,0
"OTU_281",15,37,34,41,50,0,64,66,57,18,73,82,36,64,44,62,39,59
"OTU_2819",0,1,0,0,0,0,12,0,0,0,0,0,13,0,0,10,0,0
"OTU_2827",0,0,0,0,4,0,0,0,0,7,6,6,0,0,0,0,6,11
"OTU_282",41,38,46,71,64,19,0,46,29,0,27,49,26,84,49,32,47,82
"OTU_2829",20,0,0,12,0,0,0,0,8,7,0,0,0,0,0,0,0,0
"OTU_2830",0,6,0,0,11,0,0,8,4,0,0,0,5,0,10,0,0,0
"OTU_2831",0,8,10,0,5,0,4,0,0,0,0,9,0,0,13,0,0,0
"OTU_2832",0,10,0,0,6,0,0,10,0,0,0,0,0,0,10,0,13,0
"OTU_2833",0,0,14,0,14,0,0,0,0,0,7,0,0,0,7,0,0,0
"OTU_28",222,170,253,300,276,41,275,210,165,169,197,266,289,280,294,274,235,228
"OTU_283",0,52,0,52,55,0,96,68,53,0,0,79,34,51,43,55,81,75
"OTU_2837",0,0,0,10,0,0,0,0,0,3,19,0,0,0,0,12,2,0
