"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_972",0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_977",0,19,7,0,0,0,45,35,0,0,0,0,0,0,2,0,15,3
"OTU_981",0,46,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0
"OTU_982",0,43,70,9,5,0,0,0,0,0,15,0,0,0,0,0,0,36
"OTU_990",0,21,0,0,0,0,38,19,0,9,0,15,0,0,0,0,13,0
"OTU_994",32,0,23,0,0,0,0,0,12,8,25,31,0,0,0,0,6,0
"OTU_1001",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"OTU_1006",0,0,0,0,0,0,9,0,0,0,0,38,22,0,0,0,0,0
"OTU_1010",32,25,17,0,12,0,14,24,0,12,0,0,7,0,0,0,0,0
"OTU_1020",0,0,46,0,0,22,0,0,75,0,0,18,0,0,0,0,1,0
"OTU_1021",0,22,0,0,0,0,40,19,2,0,0,0,0,0,0,13,0,0
"OTU_1022",12,12,25,16,36,0,9,0,0,0,14,0,0,0,0,0,4,2
"OTU_1023",0,10,13,11,17,8,5,6,0,0,14,25,8,0,0,3,7,9
"OTU_1024",0,24,4,17,7,0,27,2,1,4,0,0,0,0,0,0,11,2
"OTU_1039",5,45,32,0,0,0,35,0,0,0,0,0,0,0,15,0,12,13
"OTU_1046",11,18,14,19,10,0,10,7,11,0,3,14,0,7,8,0,4,5
"OTU_1048",0,0,0,0,0,0,0,0,0,10,11,12,0,25,0,19,23,33
"OTU_1052",23,0,8,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"OTU_1055",0,34,18,13,0,0,0,0,0,0,0,0,15,0,0,17,22,21
"OTU_1057",0,0,0,0,0,0,17,0,0,19,7,42,0,14,7,0,0,37
"OTU_1060",5,66,25,5,10,0,6,12,33,0,0,0,0,0,0,0,0,0
"OTU_1064",0,0,9,0,57,127,0,5,2,0,0,0,0,0,0,0,0,0
"OTU_1067",0,13,0,0,0,0,12,39,0,0,0,0,16,0,6,21,0,42
"OTU_1070",0,0,0,0,0,233,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_1072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
"OTU_1073",0,16,0,0,0,0,0,0,4,9,0,0,14,0,19,11,17,15
"OTU_1076",0,21,24,0,47,0,0,0,0,0,0,0,0,32,0,17,0,0
"OTU_1077",14,17,0,0,0,0,5,0,6,15,0,0,0,0,0,0,2,0
"OTU_1080",0,0,0,0,17,0,0,0,0,0,0,0,0,0,29,0,24,18
"OTU_1083",12,18,22,10,0,10,7,10,0,0,3,8,2,11,3,0,23,0
"OTU_1091",13,5,2,10,22,0,6,10,5,0,13,9,0,14,0,8,0,14
"OTU_1094",0,53,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1097",0,9,0,0,5,0,9,6,0,6,9,0,15,0,19,24,0,25
"OTU_1104",0,0,0,0,0,0,0,0,0,0,0,6,0,0,87,0,0,49
"OTU_1114",11,10,0,12,11,0,5,9,3,0,22,12,4,13,15,0,6,4
"OTU_1115",13,10,9,12,0,0,10,15,0,0,0,0,0,15,11,8,0,0
"OTU_1124",0,0,0,0,0,0,0,0,0,5,0,54,0,23,22,6,12,6
"OTU_1125",0,0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"OTU_1126",9,19,0,10,14,0,0,17,0,0,0,0,5,26,22,5,4,7
"OTU_1129",27,13,16,6,9,0,8,17,1,0,6,8,4,4,0,2,8,3
"OTU_1133",0,22,0,0,9,0,0,17,0,0,0,0,0,13,0,0,9,0
