"","CH2.1","CH2.2","CH2.3","CH3.1","CH3.2","CH3.3","CH4.1","CH4.2","CH4.3","CH5.1","CH5.2","CH5.3","CH6.1","CH6.2","CH6.3","CH7.1","CH7.2","CH7.3"
"OTU_57",429,34,102,653,280,77,130,281,142,19,660,50,249,47,152,144,78,5
"OTU_58",145,80,141,13,438,0,65,453,126,656,53,270,197,213,106,32,329,8
"OTU_585",0,0,0,0,11,0,0,0,9,4,0,0,0,0,0,0,37,8
"OTU_586",0,0,0,0,0,0,0,0,14,0,3,37,11,0,0,0,6,0
"OTU_59",0,0,0,1578,1004,0,0,167,0,217,0,0,0,0,0,0,82,0
"OTU_597",0,5,9,7,0,0,10,0,0,6,8,0,0,0,16,0,0,11
"OTU_60",0,0,0,10,6,0,0,10,0,11,887,0,2280,0,0,0,0,0
"OTU_608",0,5,0,0,0,0,0,0,35,0,0,17,0,0,0,0,8,0
"OTU_61",19,38,3128,15,185,0,33,13,0,24,17,0,269,22,13,32,0,0
"OTU_62",0,0,130,0,5,0,23,0,21,20,2641,21,23,0,5,0,534,0
"OTU_623",9,0,0,0,0,0,0,0,14,2,0,20,0,0,0,0,16,0
"OTU_625",0,0,0,0,0,0,9,0,13,0,2,0,0,0,0,0,37,0
"OTU_63",75,41,49,25,40,0,19,231,0,182,629,36,1456,45,96,26,0,192
"OTU_64",38,104,1225,48,28,213,290,146,16,0,55,574,0,176,111,526,0,0
"OTU_65",0,18,0,0,31,3,0,1845,0,1185,0,0,0,0,0,16,0,0
"OTU_66",0,17,0,3,0,15,4,0,2728,0,0,0,0,0,0,0,0,0
"OTU_67",13,637,127,10,257,0,27,0,0,24,33,21,110,502,1424,22,0,0
"OTU_68",0,2869,3,0,0,14,0,0,0,0,0,0,0,0,0,0,71,0
"OTU_6",5342,2345,1175,2556,4613,13,1394,1236,19,906,4958,51,181,8072,840,4322,137,806
"OTU_689",0,0,0,0,0,0,0,0,0,0,0,23,13,1,0,0,11,0
